,age,building,cost_join,effect,research time,food,wood,gold,stone
leather archer armor,,Blacksmith,150F 150G,Archers +1/+1 armor,55.0,150,0,150,0
ring archer armor,,Blacksmith,250F 250G,Archers +1/+2 armor,70.0,250,0,250,0
ballistics,,University,300W 175G,"Archers, Galleys, and defensive structures fire more accurately at moving targets",60.0,0,300,175,0
heated shot,,University,350F 100G,Towers +125% and Castles +25% attack against ships,30.0,350,0,100,0
murder holes,,University,200F 100S,Eliminates minimum range of all buildings,35.0,200,0,0,100
arrowslits,,University,250F 250W,Watch Towers/Guard Towers/Keeps/Donjons +1/+2/+3/+3 attack,25.0,250,250,0,0
chemistry,,University,300F 200G,"Missile units (including siege) +1 attackPrerequisite for Hand Cannoneer, Bombard Cannon, Cannon Galleon and Bombard Tower (technology)",100.0,300,0,200,0
siege engineers,,University,500F 600W,Siege weapons +1 range (except for Rams and Armored Elephants) and +20% attack vs buildings (Petards and Flaming Camels +40%),45.0,500,600,0,0
bloodlines,,Stable,150F 100G,Mounted units +20 hit points,50.0,150,0,100,0
husbandry,,Stable,150F,Mounted units +10% speed,40.0,150,0,0,0
forging,,Blacksmith,150F,Infantry/cavalry +1 attack,50.0,150,0,0,0
iron casting,,Blacksmith,220F 120G,Infantry/cavalry +1 attack,75.0,220,0,120,0
blast furnace,,Blacksmith,275F 225G,Infantry/cavalry +2 attack,100.0,275,0,225,0
scale barding armor,,Blacksmith,150F,Cavalry +1/+1 armor,45.0,150,0,0,0
chain barding armor,,Blacksmith,250F 150G,Cavalry +1/+1 armor,60.0,250,0,150,0
plate barding armor,,Blacksmith,350F 200G,Cavalry +1/+2 armor,75.0,350,0,200,0
careening,,,250F 150G,"Ship +1 pierce armor, Transport Ship +5 capacity",50.0,250,0,150,0
dry dock,,,600F 400G,"Ship +15% speed, Transport Ship +10 capacity",60.0,600,0,400,0
shipwright,,,"1,000F 300G",Ships cost -20% wood and are created +54% faster,60.0,0,0,300,0
